vendedor,referencia_vendedor,fabricante,ref_fabricante,unidad_embalaje,descripcion,precio_unitario,fechaCompra,cantidad,total
AMIDATA S.A,787-7762,,,U,"Termopar RS PRO, tipo K, Acero Inoxidable, 150mm probe -100°C a +750°C",20.64,2019-02-05,2,41.28
AMIDATA S.A,787-7765,,,U,"Termopar RS PRO, tipo K, Acero Inoxidable, 250mm probe -100°C a +750°C",21.42,2019-02-05,1,21.42
AMIDATA S.A,455-9758,,,U,Conector de termopar RS PRO para Termopar de tipo K,3.2,2019-02-05,2,6.4
AMIDATA S.A,455-9742,,,U,Conector de termopar RS PRO para Termopar de tipo K Codigo RS 455-9742,3.96,2019-02-05,2,7.92
AMIDATA S.A,455-9764,,,U,Conector de termopar RS PRO para Termopar de tipo K Codigo RS,3.12,2019-02-05,2,6.24
AMIDATA S.A,479-1788,,,U,"Termopar RS PRO, Cable de 3m, tipo K, Sonda de 3m -100°C a +250°C Codigo RS",8.6,2019-02-05,1,8.6
AMIDATA S.A,621-2271,,,U,"Termopar RS PRO, Cable de 2m, tipo K, Acero Inoxidable probe -50°C a 350°C Codigo RS",15.36,2019-02-05,2,30.72
AMIDATA S.A,412-327,,,U,"Amplificador de Instrumentacion, AD620BNZ, 50μV Offset, 120kHz 80dB CMRR, PDIP 8-Pines Codigo RS",11.63,2019-02-05,4,46.52
AMIDATA S.A,112-5510,,,U,"JFET, PMBFJ177,215, P-Canal, 30 V, Unico, SOT-23, 3-Pines Codigo RS",0.41000000000000003,2019-02-05,5,2.05
AMIDATA S.A,773-7816,,,U,"JFET, MMBFJ177LT1G, P-Canal, Unico, SOT-23, 3-Pines Codigo RS",0.309,2019-02-05,10,3.09
AMIDATA S.A,806-1747,,,U,"JFET, J105, N-Canal, Unico, TO-92, 3-Pines Codigo RS",0.44,2019-02-05,10,4.4
AMIDATA S.A,791-9403,,,U,"JFET, CPH6904-TL-E, N-Canal, 25 V, Doble, CPH, 6-Pines Codigo RS",0.498,2019-02-05,10,4.98
AMIDATA S.A,545-0337,,,U,"JFET, MMBF4392LT1G, N-Canal, 30 V, Unico, SOT-23, 3-Pines Codigo RS",0.115,2019-02-05,10,1.15
AMIDATA S.A,625-5745,,,U,"JFET, MMBFJ310LT1G, N-Canal, 25 V, Unico, SOT-23, 3-Pines Codigo RS",0.452,2019-02-05,5,2.26
AMIDATA S.A,773-7813,,,U,"JFET, MMBFJ310LT3G, N-Canal, 25 V, Unico, SOT-23, 3-Pines Codigo RS",0.213,2019-02-05,10,2.13
AMIDATA S.A,625-5723,,,U,"JFET, MMBF4391LT1G, N-Canal, 30 V, Unico, SOT-23, 3-Pines Codigo RS",0.22,2019-02-05,5,1.1
AMIDATA S.A,626-3308,,,U,"JFET, PMBFJ308,215, N-Canal, 25 V, Unico, SOT-23 (TO-236AB), 3-Pines Codigo RS",0.153,2019-02-05,10,1.53
AMIDATA S.A,363-6551,,,U,Rotulador Resistente al Grabado MEGA Electronics 100-034 Codigo RS,3.42,2019-02-05,2,6.84
AMIDATA S.A,294-5090,,,U,"Resistencia fija montada en superficie de valor ohmico alto TE Connectivity, 1GΩ, ±30%, 0.125W, Pelicula Gruesa Codigo RS",1.9,2019-02-05,5,9.5
AMIDATA S.A,294-5078,,,U,"Resistencia fija montada en superficie de valor ohmico alto TE Connectivity, 500MΩ, ±30%, 0.125W, Pelicula Gruesa Codigo RS",1.9300000000000002,2019-02-05,5,9.65
"ARISTA SISTEMAS GRÁFICOS, S.L.",90318,,,ROLLO,Metamark M7 negro 061 x 50m,158.91,2019-01-14,1,158.91
"ARISTA SISTEMAS GRÁFICOS, S.L.",Ports,,,U,Ports,5.0,2019-01-14,1,5.0
AMIDATA S.A,597-374,,,U,"Pila de boton Monofluoruro de Policarbonato-Litio Panasonic BR, BR2330 con Terminal para PCB 3V, 225mAh",4.36,2019-01-14,1,4.36
"PLOTTERALIA, S.L.U.",CUT-MAT-12,,,U,Manta de corte para Silhouette Cameo 12x12,13.59,2019-01-14,1,13.59
"PLOTTERALIA, S.L.U.",CUT-MAT-12LT,,,U,Manta de corte 12,13.59,2019-01-14,1,13.59
"PLOTTERALIA, S.L.U.",Ports,,,U,Ports,3.969,2019-01-14,1,3.969
"ADLER INSTRUMENTOS, S.L.",DAQ6510/7700,,,U,"Multi-channel touchscreen measurement DMM with 20 channel switching card, Keithley.",1621.0,2020-11-10,1,1621.0
"ADLER INSTRUMENTOS, S.L.",KTTI-GPIB,,,U,"GPIB Communication and Digital I/O accessory, user-installable",251.0,2020-11-10,1,251.0
"FERRETERIA MARANGES, S.A.",MEQC646,,,U,INTERRUPTOR MAGNETOTERMICO II-16A CURVA C,6.66,2020-11-06,1,6.66
"FERRETERIA MARANGES, S.A.",3042800,,,BORSA,200 arandelas ARANDELA PLANA DIN-125 A-2 INOX 8MM.,2.93,2020-11-06,1,2.93
"FERRETERIA MARANGES, S.A.",3762800,,,BORSA,200 x TUERCA DIN-934 A-2 INOX M-8,6.12,2020-11-06,1,6.12
"FERRETERIA MARANGES, S.A.",3262812,,,BORSA,200 x TORNILLO C/EXAGONAL DIN-933 A-2 INOX 8x12,16.74,2020-11-06,1,16.74
